raceId,year,driverId,constructorId,finish_points,grid,position,racer_name,constructor_name,qual_points,teammate_points
350,2010,10,166,0.0,24,17.0,Timo Glock,Virgin,0,1.0
350,2010,5,205,0.0,18,18.0,Heikki Kovalainen,Lotus,0,0.0
350,2010,29,164,0.0,23,19.0,Sakon Yamamoto,HRT,0,0.0
350,2010,810,166,0.0,21,20.0,Lucas di Grassi,Virgin,0,0.0
350,2010,15,205,0.0,17,,Jarno Trulli,Lotus,0,1.0
350,2010,811,164,0.0,22,,Bruno Senna,HRT,0,1.0
350,2010,1,1,0.0,5,,Lewis Hamilton,McLaren,10,0.0
350,2010,155,15,0.0,13,,Kamui Kobayashi,Sauber,0,1.0
351,2010,4,6,25.0,1,1.0,Fernando Alonso,Ferrari,25,1.0
351,2010,20,9,18.0,2,2.0,Sebastian Vettel,Red Bull,18,1.0
351,2010,17,9,15.0,5,3.0,Mark Webber,Red Bull,10,0.0
351,2010,18,1,12.0,4,4.0,Jenson Button,McLaren,12,1.0
351,2010,3,131,10.0,7,5.0,Nico Rosberg,Mercedes,6,1.0
351,2010,22,3,8.0,6,6.0,Rubens Barrichello,Williams,8,1.0
351,2010,9,4,6.0,8,7.0,Robert Kubica,Renault,4,1.0
351,2010,13,6,4.0,24,8.0,Felipe Massa,Ferrari,0,0.0
351,2010,16,10,2.0,15,9.0,Adrian Sutil,Force India,0,0.0
351,2010,807,3,1.0,17,10.0,Nico Hülkenberg,Williams,0,0.0
351,2010,808,4,0.0,12,11.0,Vitaly Petrov,Renault,0,0.0
351,2010,153,5,0.0,11,12.0,Jaime Alguersuari,Toro Rosso,0,1.0
351,2010,30,131,0.0,9,13.0,Michael Schumacher,Mercedes,2,0.0
